municao_id,categoria_id,Nível,titulo,afirmacao_veneno,pergunta_bisturi,refutacao_ponto1,refutacao_ponto2,refutacao_ponto3,Arsenal_de_Apoio (Obras e Autores),Aprenda mais,Capítulo,keywords,pontos_base,Variacoes_Semanticas,GEMINI,GEMINI,,
A100,Batalha_na_aula,4. MEC,"A ""Emancipação Humana"" de Marx","A superação dessa condição de perda da liberdade pela dominação é chamada, por Marx, de emancipação humana.","Professor, a 'emancipação humana' de Marx, que ele descreve em 'A Questão Judaica' como a superação de toda alienação (religiosa, política, econômica), não seria uma promessa escatológica secularizada, uma tentativa de construir o Céu na Terra que, na prática, resultou na criação do Inferno totalitário?","A ""emancipação humana"" de Marx é um conceito gnóstico. É a promessa de uma restauração da perfeição original do homem aqui na Terra, através da ação política revolucionária. É uma heresia cristã transformada em programa político.","Eric Voegelin diagnosticou esse tipo de pensamento como a ""imantização da escatologia"": a tentativa de forçar a realização do fim dos tempos (o eschaton) dentro da história, o que leva inevitavelmente à violência totalitária para eliminar todos que se opõem à utopia.","A promessa de ""liberdade total"" é a promessa da tirania total. Para ""emancipar"" o homem de todas as suas amarras (família, religião, propriedade), é preciso um Estado com poder absoluto para redesenhar a própria natureza humana. O resultado foi o Gulag, o Laogai e os campos de extermínio.","1. Eric Voegelin, ""A Nova Ciência da Política""<br2. Alain Besançon, ""A Infelicidade do Século""",,,"Cercamentos, urbanização, Revolução Agrícola, tecnologias, produção de alimentos, crescimento das cidades, narrativa marxista, simplificação, migração campo-cidade, produtividade, mão de obra, indústrias, pobreza, fome, trabalho brutal, vida melhor, liberdade, servidão feudal.",125,"Liberdade total segundo Marx, Fim da alienação, Utopia marxista, Salvação pela política, Paraíso na terra, Escatologia secularizada",,,,
A101,Batalha_na_aula,4. MEC,"Os ""Cercamentos"" criaram o Proletariado?",Nos cercamentos as terras do Estado (...) foram cercadas e apropriadas pelos nobres e burgueses. (...) A expulsão violenta dos camponeses (...) dá origem ao proletariado.,"Professor, o texto apresenta os cercamentos como a única causa da urbanização. Mas a Revolução Agrícola, com suas novas tecnologias, não aumentou drasticamente a produção de alimentos, exigindo menos gente no campo e, ao mesmo tempo, permitindo o crescimento das cidades?","A narrativa marxista dos ""cercamentos"" é uma simplificação dramática. A migração campo-cidade foi um processo complexo que durou séculos.","A Revolução Agrícola (novas culturas, rotação de terras, melhoria de ferramentas) foi um fator muito mais importante. Ela aumentou a produtividade de forma que um único agricultor podia alimentar muito mais pessoas, liberando mão de obra para as novas indústrias.","A vida no campo não era um paraíso. Era de pobreza, fome e trabalho brutal. Para muitos, a migração para a cidade, apesar de suas dificuldades, representou uma oportunidade de uma vida melhor e de maior liberdade do que a servidão feudal.","1. T.S. Ashton, ""A Revolução Industrial 1760-1830""<br2. Deirdre McCloskey, ""A Dignidade da Burguesia""",,,"Mercantilismo protecionista, Ato de Navegação, fonte de riqueza, Adam Smith, A Riqueza das Nações, protecionismo, empobrece, competição, preços, consumidores, produtores protegidos, governo, nação, produtos nacionais, Inglaterra, instituições fortes, Estado de Direito, propriedade privada, sistema bancário, liberdade econômica, Revolução Gloriosa, Holanda, livre comércio, prosperidade, políticas liberais.",125,"Origem do proletariado, Migração para as cidades, Fim da vida no campo, Revolução agrícola, Expulsão dos camponeses",,,,
A102,Batalha_na_aula,4. MEC,"O ""Ato de Navegação"" enriqueceu a Inglaterra?",A assinatura do Ato de Navegação em 1651 (...) representou outro passo importante na acumulação de capitais (...) a Inglaterra conseguia praticamente eliminar a Holanda.,"Professor, o texto apresenta o mercantilismo protecionista, como o Ato de Navegação, como uma fonte de riqueza. Mas Adam Smith, em 'A Riqueza das Nações', não provou que o protecionismo, na verdade, empobrece um país ao reduzir a competição e aumentar os preços para os consumidores?","O mercantilismo enriquece alguns produtores protegidos pelo governo, mas empobrece a nação como um todo. Ele força os consumidores a comprar produtos nacionais mais caros e de menor qualidade.","A verdadeira fonte da riqueza da Inglaterra não foi o protecionismo, mas o desenvolvimento de instituições fortes: o Estado de Direito, a proteção da propriedade privada, um sistema bancário sólido e, principalmente, a liberdade econômica que floresceu depois da Revolução Gloriosa (1688).","A Holanda, que era muito mais livre economicamente que a Inglaterra no século XVII, já era um exemplo de como o livre comércio gera prosperidade. A Inglaterra só a superou quando adotou políticas mais liberais.","1. Adam Smith, ""A Riqueza das Nações"", Livro IV<br2. Douglass North & Robert Thomas, ""The Rise of the Western World""",,,"Acumulação de capital, acumulação de ideias, Revolução Científica, cultura de inovação, ética protestante, trabalho, poupança, Max Weber, capital, dinheiro, máquinas, ideias produtivas, Espanha, ouro, prata, América, Revolução Industrial, instituições de liberdade, experimentação, medição, soluções práticas, cultura do crescimento, combustível, economista, Joel Mokyr, mercado de ideias, conhecimento, inovação, prosperidade moderna.",125,"Protecionismo enriquece?, Riqueza da inglaterra, Mercantilismo funciona?, Livre comércio vs protecionismo, Leis de navegação",,,,
A103,Batalha_na_aula,4. MEC,"A Riqueza é só ""Acumulação de Capital""?","Diversos fatores contribuíram para o pionerismo inglês nesse processo, sobretudo a acumulação de capitais ocorrida entre os séculos XVI e XVIII.","Professor, o texto foca apenas na 'acumulação de capital'. Mas e a 'acumulação de ideias'? A Revolução Científica, a cultura de inovação, a ética protestante do trabalho e da poupança, como descrita por Max Weber, não foram fatores muito mais decisivos?","O capital (dinheiro, máquinas) é inútil sem as ideias sobre como usá-lo de forma produtiva. A Espanha acumulou montanhas de ouro e prata da América, mas não teve uma Revolução Industrial porque não tinha a cultura de inovação e as instituições de liberdade da Inglaterra.","A Revolução Científica e o Iluminismo criaram uma mentalidade que valorizava a experimentação, a medição e a busca por soluções práticas. Essa ""cultura do crescimento"" foi o verdadeiro combustível da Revolução Industrial.","O economista Joel Mokyr argumenta que a causa da prosperidade moderna foi o surgimento de um ""mercado de ideias"" na Europa, onde o conhecimento era compartilhado e aprimorado, levando a um surto de inovação sem precedentes.","1. Joel Mokyr, ""A Cultura do Crescimento""<br2. Max Weber, ""A Ética Protestante e o Espírito do Capitalismo""",,,"Diagrama de Marx, tempo, dinheiro (D), lucro (D'), remuneração, capitalista, esperar, consumo presente, preferência temporal, economistas, análise atemporal, Escola Austríaca de Economia, juro, bens presentes, bens futuros, investir, recompensa, meios de produção, processo produtivo, eficiência, paciência, diagrama marxista, fotografia estática, processo dinâmico, capital produtivo.",125,"Capital é o mais importante?, Origem da riqueza, Revolução industrial foi só por dinheiro?, Inovação e prosperidade, Cultura do crescimento",,,,
A104,Batalha_na_aula,4. MEC,O Diagrama D-M-D',O capitalista obtém mais-valia quando investe seu dinheiro (D) na compra de dois tipos de mercadoria (M): força de trabalho e meios de produção. A força de trabalho cria novos valores (...) geram mais dinheiro (D').,"Professor, esse diagrama de Marx não ignora completamente um elemento central: o tempo? O dinheiro (D) só se torna mais dinheiro (D') no futuro. O lucro não seria, então, a remuneração que o capitalista recebe por esperar e por abrir mão do consumo presente, o que os economistas chamam de 'preferência temporal'?","A análise de Marx é atemporal e, portanto, falha. A Escola Austríaca de Economia mostrou que o lucro (ou juro) surge da preferência temporal: as pessoas preferem bens presentes a bens futuros. Para convencer alguém a investir (abrir mão do consumo hoje), é preciso oferecer-lhe uma recompensa no futuro.","O capitalista não compra apenas ""meios de produção""; ele organiza-os em um processo produtivo que leva tempo. O lucro é o pagamento por sua capacidade de organizar esse processo de forma eficiente e por sua paciência em esperar pelo resultado.","O diagrama marxista é uma fotografia estática de um processo que é, na sua essência, dinâmico e temporal. Ele não consegue explicar por que os juros existem ou por que o capital é produtivo.","1. Eugen von Böhm-Bawerk, ""Capital e Juro""<br2. Jesús Huerta de Soto, ""Moeda, Crédito Bancário e Ciclos Econômicos""",,,"acontecem, acreditam, ambas, antagonismo, através, aumenta, bolo, capitalismo, contrate, cresce, criando, demite, diferente, dividido, economia, emprego, empresa, empresas, falácia, fecha, forma, ganha, ganhando, garantia, gestão, história, ideia, incluindo, inteiro, interesse, invista, jogo, livre, longo, lucrativa, lucrativas, lucro, maior, medida, melhor, melhores, mercado, mostra, nível, paga, pagar, partes, perder, portas, positiva, possa, prazo, prejuízo, pressupõe, produtivas, provável, realidade, relação, reter, sair, salários, seja, sociedade, soma, talentos, tecnologia, tornam, trabalha, trabalhador, trabalhadores, trocas, visão, voluntárias, zero",125,"De onde vem o lucro?, Mais-valia ignora o tempo, O que é preferência temporal, Lucro é o pagamento pelo tempo, Juros e capital",,,,
A105,Batalha_na_aula,4. MEC,"Interesses de Classe ""Antagônicos""","É por isso que os trabalhadores e a burguesia possuem interesses de classe antagônicos, ou seja, opostos, pois o aumento do lucro do burguês é a perda de uma quantia de salário por parte do trabalhador.","Professor, essa visão de 'soma zero', onde um só ganha se o outro perder, não é uma falácia? Em uma empresa que cresce e tem lucro, não é mais provável que ela invista mais, contrate mais gente e possa pagar salários melhores para reter seus talentos, criando uma relação de 'soma positiva'?","A ideia de ""antagonismo"" pressupõe que a economia é um jogo de soma zero. A realidade do livre mercado é que ele é um jogo de soma positiva. As trocas voluntárias só acontecem porque ambas as partes acreditam que vão sair ganhando.",O interesse de longo prazo do trabalhador é que a empresa em que ele trabalha seja lucrativa. Uma empresa com prejuízo não paga salários; ela demite e fecha as portas. O lucro da empresa é a maior garantia de emprego para o trabalhador.,"A história do capitalismo mostra que, à medida que as empresas se tornam mais produtivas e lucrativas (através de tecnologia e melhor gestão), o nível de vida de toda a sociedade, incluindo dos trabalhadores, aumenta. O bolo não é apenas dividido de forma diferente; o bolo inteiro cresce.","1. Ludwig von Mises, ""A Mentalidade Anticapitalista""<br2. Henry Hazlitt, ""Economia numa Única Lição""",,,"agricultor, ajudam, amigos, apoiam, bombeiros, capitalismo, caridade, causa, chega, colaboram, come, competem, competição, consumidor, cooperação, cria, empresas, famílias, feita, ganha, generosas, grande, humano, inclinação, luta, manhã, melhor, menor, mercado, mesa, moleiro, muda, médicos, natural, oferecer, padeiro, permite, pessoas, possam, preço, produto, professores, pão, riqueza, serve, servir, sistema, social, sociedade, vendedor, verdade, violenta, voluntária, voluntários",125,"Patrão e empregado são inimigos?, Economia é um jogo de soma zero, Se o patrão lucra o empregado perde, Luta de classes é real?, Cooperação no mercado",,,,
A106,Batalha_na_aula,0. Primário,Somos todos egoístas no capitalismo?,"No capitalismo, os indivíduos passaram a considerar todos os outros como adversários. Transformou a vida cotidiana em mera luta pela riqueza.","Professor(a), mas e os bombeiros, os médicos, os professores, os voluntários que ajudam os outros? E as famílias e os amigos que se apoiam? A vida não é feita muito mais de cooperação do que de competição?","O ser humano tem uma inclinação natural para a cooperação e a caridade. O capitalismo não muda isso. Na verdade, ele cria a riqueza que permite que as pessoas e a sociedade possam ser mais generosas.","O mercado é um grande sistema de cooperação social. O pão que você come de manhã só chega à sua mesa por causa da cooperação voluntária entre o agricultor, o moleiro, o padeiro e o vendedor. Todos colaboram para servir uns aos outros.","A competição no capitalismo não é uma ""luta"" violenta. É uma competição para ver quem serve melhor ao consumidor. As empresas competem para oferecer o melhor produto pelo menor preço. Quem ganha com isso é a sociedade.","1. Matt Ridley, ""As Origens da Virtude""<br>2. Vídeo: ""I, Pencil"" (Eu, o Lápis)",,,"anúncio, arrogante, avaliar, bem, caráter, compro, contra, crítico, culpar, decide, decidir, decisão, defesa, diz, escolher, essencial, falsa, falsas, faz, ferramenta, final, fortalecer, importante, independentemente, informa, livrearbítrio, luxo, melhor, mensagem, moderação, monte, necessidade, necessidades, obriga, pais, pensamento, persuade, pessoa, produto, propaganda, realmente, saber, sempre, solução, temperança, termo, trabalho, vejo, verdadeira, virtude, útil",10,"Capitalismo é egoísta, Mercado nos torna adversários, Competição vs cooperação, Sociedade capitalista é uma selva",,,,
A107,Batalha_na_aula,0. Primário,A propaganda te obriga a comprar?,Por meio da propaganda se criam falsas necessidades e falsas carências. (...) A propaganda acaba exercendo função modelizante: modela o comportamento.,"Professor(a), mas eu vejo propaganda de um monte de coisas que eu não compro. Eu e meus pais não temos o poder de escolher e decidir o que é realmente importante para nós, independentemente do que o anúncio diz?","A propaganda informa e persuade, mas ela não obriga. Você tem o livre-arbítrio para avaliar a mensagem e decidir se o produto é útil para você ou não. A decisão final é sempre sua.","Falsas necessidades é um termo arrogante. Quem decide o que é uma necessidade ""verdadeira"" ou ""falsa"" para outra pessoa? O que é luxo para um pode ser uma ferramenta de trabalho essencial para outro.","A melhor defesa contra a má propaganda é o pensamento crítico e a virtude da temperança (moderação). A solução não é culpar a propaganda, mas fortalecer o caráter para saber dizer ""não"" ao que não nos faz bem.","1. G.K. Chesterton, ""O que há de errado com o mundo""<br2. Livro: ""O Poder do Hábito"" (Charles Duhigg)",,,"aprendemos, ato, bairro, bem, bom, brasília, ceder, cidade, cidadão, começa, comum, comunidade, condomínio, cuidar, decidir, decisões, escola, família, fazemos, honesto, importante, junta, limpar, local, melhorar, mudança, negociar, original, pais, participam, participar, política, político, pracinha, primeira, pólis, regras, respeitar, reunião, sentido, significa, tudo, verdadeira, vizinho",10,"A publicidade me controla?, Somos obrigados a comprar o que vemos na TV?, Criação de falsas necessidades, Consumismo e propaganda",,,,
A108,Batalha_na_aula,0. Primário,Política é só para políticos em Brasília?,"Política refere-se à arte de governar, de gerir o destino da cidade (...) o político é aquele que atua na vida pública.","Professor(a), mas quando a gente se junta para limpar a pracinha do bairro, ou quando meus pais participam da reunião de condomínio para decidir as regras, isso também não é fazer política?","Política, em seu sentido original, significa cuidar da ""pólis"" (a cidade, a comunidade). Tudo o que fazemos para melhorar a vida em comum é um ato político.","A família é a primeira escola de política. É onde aprendemos a negociar, a ceder, a respeitar regras e a cuidar uns dos outros para o bem comum.","A política mais importante não é a de Brasília, mas a política do dia a dia: ser um bom vizinho, um cidadão honesto, participar das decisões da sua comunidade local. É aí que a verdadeira mudança começa.","1. Aristóteles, ""A Política"" (ideia de ""animal político"")<br2. Livro: ""A Morte e a Vida de Grandes Cidades"" (Jane Jacobs)",,,"aconteceu, atenas, através, base, cada, casa, cidadãos, condenou, constitucional, criaram, democracia, democrático, direito, direitos, estado, eua, executivo, exercido, forte, funciona, fundadores, fundamentais, indivíduo, instituições, judiciário, justiça, justo, legislativo, leis, liberdade, limites, maioria, minoria, moral, pais, pior, poderes, povo, precisa, protegem, proteger, pura, regimes, representantes, república, respeito, separação, sistema, sócrates, temiam, tirania, tomar, tornar, valorizam, verdade, vontade, votar",10,"O que é política?, Política do dia a dia, Cuidar da comunidade, A política começa em casa, Reunião de condomínio é política?",,,,
A109,Batalha_na_aula,0. Primário,"Democracia é o ""poder do povo""?",A palavra democracia (...) significa poder que emana do povo.,"Professor(a), mas se 51% do povo votar para tomar a casa dos outros 49%, isso seria democrático e justo? A democracia não precisa de limites e de leis para proteger os direitos de todo mundo, inclusive da minoria?","A democracia não é apenas a ""vontade da maioria"". É um sistema com leis e direitos que protegem a todos. Os Pais Fundadores dos EUA, por exemplo, temiam a ""tirania da maioria"" e criaram uma República Constitucional, não uma democracia pura.","O poder do povo é exercido através de representantes e instituições. A democracia só funciona com respeito ao Estado de Direito, à separação de poderes (Executivo, Legislativo, Judiciário) e aos direitos fundamentais de cada indivíduo.","Uma democracia sem uma base moral forte, onde os cidadãos valorizam a verdade, a justiça e a liberdade, pode se tornar o pior dos regimes, como aconteceu na Atenas que condenou Sócrates.","1. ""O Federalista"" (Hamilton, Madison, Jay)<br2. Alexis de Tocqueville, ""A Democracia na América""",,,"antropomórficas, arché, autores, busca, buscar, buscava, buscavam, cheio, compreensão, continuidade, contraditórias, cosmologia, cosmos, deuses, divina, divindade, divino, eliminação, estava, eterno, evolução, filosofia, filosófica, fogo, hesíodo, homero, irracional, jaeger, logos, lógica, marca, materialistas, metafísica, mito, modernos, mostram, mítica, narrativas, nascimento, nova, ordem, ordena, poetas, princípio, profundamente, présocráticos, pura, racionalização, realidade, rejeição, religiosa, ruptura, sagrado, sendo, simples, simplificação, tales, teologia, tudo, universo, visão, werner, água, único",10,"Democracia é a vontade da maioria?, A maioria pode oprimir a minoria?, Tirania da maioria, Limites da democracia, República vs democracia",,,,
