Autor,Obra (Título),Notas/Descrição
"Sertillanges, A.-D.",A Vida Intelectual,Um guia clássico e indispensável sobre como ordenar a mente e a vida para a busca da verdade.
Santo Agostinho,Confissões,"A jornada de uma das maiores mentes da história em sua busca incansável pela Verdade, mostrando que a busca pelo conhecimento é inseparável da busca por Deus."
Irmã Miriam Joseph,"O Trivium: As Artes Liberais da Lógica, Gramática e Retórica",A obra definitiva para entender a estrutura clássica do pensamento que formou a civilização ocidental e que foi a base da educação de elite durante séculos.
"Schopenhauer, Arthur",Como Vencer um Debate sem Precisar Ter Razão,"Essencial não para usar as táticas, mas para aprender a identificá-las e a se defender delas no dia a dia."
"Campbell, Joseph",O Poder do Mito,Uma exploração fascinante de como mitos e símbolos arquetípicos moldam as culturas e a psique humana.
"Bruce-Mitford, Miranda",Sinais e Símbolos: Um Guia Ilustrado Para Suas Origens e Significados,Um excelente guia de referência visual para entender o vocabulário universal dos símbolos.
"Orwell, George",1984,"A ficção distópica que melhor descreveu como a manipulação da linguagem (a ""Novilíngua"") é a ferramenta fundamental para o controlo do pensamento e a tirania."
"Robson, Ronald",A Mente de Olavo de Carvalho,Uma introdução ao pensamento do filósofo brasileiro que mais profundamente analisou e denunciou a guerra cultural e a manipulação da linguagem no Brasil.
"Orwell, George",Política e a Língua Inglesa (ensaio),Um texto curto e direto sobre como a linguagem imprecisa e o jargão político são usados para obscurecer a verdade.
"Adler, Mortimer; Van Doren, Charles",Como Ler Livros,"O manual definitivo sobre a arte da leitura. A leitura deste livro é, em si, um treinamento para a mente."
"Almeida, Napoleão Mendes de",Gramática Metódica da Língua Portuguesa,"Uma gramática clássica, rigorosa e excelente para quem deseja aprofundar o conhecimento da estrutura lógica do português."
PESQUISA,Um bom Dicionário Etimológico (como o de Antônio Geraldo da Cunha),Uma ferramenta fascinante para explorar a história e o verdadeiro significado das palavras.
Aristóteles,Organon,"A obra fundadora da lógica ocidental. É um material denso, mas ler trechos da ""Analítica"" ou dos ""Tópicos"" é ir direto à fonte."
Platão,"Diálogos (especialmente ""A República"", ""Fedro"" e ""O Sofista"")","Veja a dialética em ação. Observe como Sócrates, através do diálogo, força seus interlocutores a examinar suas próprias premissas e a buscar definições verdadeiras."
"Chesterton, G. K.",Iniciação à Lógica,Um texto mais acessível que mostra como a lógica está intrinsecamente ligada ao senso comum e à percepção da realidade.
Aristóteles,Retórica,"O tratado fundamental sobre o tema. Aristóteles disseca os três pilares da persuasão: Logos (o apelo à razão), Pathos (o apelo à emoção) e Ethos (o caráter e a credibilidade de quem fala)."
Quintiliano,Da Educação do Orador,"Uma obra monumental romana que trata a retórica como o ápice da formação de um homem bom e sábio, capaz de liderar e influenciar a sociedade para o bem."
"Adler, Mortimer","Como Falar, Como Ouvir","Um guia prático e moderno sobre como aplicar os princípios da retórica na comunicação diária, transformando conversas em diálogos produtivos."
"Carvalho, Olavo de",O Jardim das Aflições,Uma obra densa que disseca a estrutura da mentalidade revolucionária e a sua necessidade de subverter a linguagem e a realidade para impor a sua utopia.
"Chesterton, G. K.",A Realidade da Realidade (ensaio),Chesterton defende com brilhantismo que o senso comum e a aceitação da realidade objetiva são os fundamentos da sanidade mental.
"Sagan, Carl",O Mundo Assombrado pelos Demónios: A Ciência como uma Vela no Escuro,Um clássico na defesa do pensamento cético e da verificação de fatos contra a superstição e a pseudociência.
"Rand, Ayn",A Revolta de Atlas,Uma obra de ficção que explora filosoficamente a ideia de que a realidade (A é A) é absoluta e que a recusa em reconhecer fatos objetivos leva ao colapso da sociedade.
"Scruton, Roger",Os Erros do Ocidente,"Uma coleção de ensaios onde o filósofo conservador disseca as opiniões dominantes da esquerda moderna, mostrando as suas premissas filosóficas e os seus erros factuais."
"Sowell, Thomas",O Conflito de Visões,"Sowell argumenta brilhantemente que os debates políticos não são sobre políticas, mas sobre visões de mundo (opiniões fundamentais) opostas e irreconciliáveis sobre a natureza humana."
"Adler, Mortimer J.",Lógica para Todos,"Um livro fantástico que ensina, de forma acessível, a estrutura de um argumento, a identificar premissas maiores e menores, e a avaliar a validade de uma conclusão."
"Carvalho, Olavo de",O Mínimo que Você Precisa Saber para não Ser um Idiota,"Uma compilação de textos que, em grande parte, se dedica a expor as premissas ocultas e muitas vezes absurdas por trás das narrativas políticas e culturais dominantes."
"Kuhn, Thomas S.",A Estrutura das Revoluções Científicas,"Um livro fundamental que introduziu o conceito de ""mudança de paradigma"" e mostrou como a ciência avança através de crises e revoluções, e não de forma linear e cumulativa."
Papa São João Paulo II,Fé e Razão (Fides et Ratio),"Uma encíclica brilhante que explora a relação harmoniosa entre a fé e a razão, mostrando que ambas são como ""duas asas sobre as quais o espírito humano se eleva à contemplação da verdade""."
"Heisenberg, Werner","O Credo do Cientista (em ""A Parte e o Todo"")",O grande físico quântico reflete sobre os limites da ciência e a sua relação com a filosofia e a religião.
"Chesterton, G. K.",A Conquista do Óbvio,"Em seus ensaios, Chesterton mestralmente aplica este princípio, mostrando como as verdades mais simples e óbvias são obscurecidas por filosofias complexas e desonestas."
"Aurélio, Marco",Meditations,"O imperador estóico pratica constantemente a arte de descrever os eventos para si mesmo de forma objetiva, despindo-os de julgamentos emocionais para ver a sua verdadeira natureza."
